count,gender,name,probability
381.0,male,Ernesto,1.0
4440.0,female,mary,1.0
2925.0,male,Jeff,1.0
167.0,male,Gabe,0.97
1.0,female,sodapop,1.0
1.0,female,Mama,1.0
576.0,female,Caitlin,1.0
929.0,male,Carl,1.0
3821.0,male,Jose,0.99
611.0,male,Douglas,1.0
16.0,male,Trev,1.0
1.0,female,The,1.0
2787.0,female,Monica,1.0
1233.0,female,Jen,0.99
954.0,male,Colin,0.99
1.0,female,Jessmine,1.0
1799.0,female,Shannon,0.93
2262.0,male,Rob,0.99
83.0,male,mohsen,1.0
710.0,male,Drew,0.95
836.0,male,HUGO,1.0
1097.0,male,Philip,1.0
172.0,female,Bree,1.0
422.0,male,Camilo,0.99
73.0,female,Raven,0.84
4.0,male,Gavino,1.0
2597.0,male,Josh,1.0
721.0,male,Gregory,1.0
1072.0,male,Erik,0.99
1060.0,female,Pam,1.0
2.0,female,every,1.0
1816.0,male,Craig,1.0
6717.0,female,Jennifer,1.0
1.0,male,TMJ,1.0
4915.0,male,Matt,1.0
338.0,male,Marvin,1.0
1812.0,male,Bill,1.0
4110.0,female,Sandra,1.0
912.0,male,Felipe,1.0
57.0,male,عبدالله,1.0
109.0,male,DA,0.83
5168.0,male,Andrew,1.0
6394.0,female,Lisa,1.0
1309.0,male,Jacob,1.0
5595.0,male,mike,1.0
5595.0,male,Mike,1.0
